Name,Story ID,Epic ID,Epic,Order,Story Points,Status
"Navegación intuitiva en la landing page","US01","EP01","Onboarding del Visitante","1","3","Done"
"Acceso rápido a funcionalidades clave","US02","EP01","Onboarding del Visitante","2","3","Done"
"Registro con correo y contraseña","US03","EP02","Autenticación y Gestión de Cuenta","3","3","Done"
"Iniciar sesión como freelancer o cliente","US04","EP02","Autenticación y Gestión de Cuenta","4","5","Done"
"Registro con Google","US05","EP02","Autenticación y Gestión de Cuenta","5","2","Done"
"Solicitar recuperación de contraseña","US06","EP02","Autenticación y Gestión de Cuenta","6","2","Done"
"Restablecer contraseña vía correo","US07","EP02","Autenticación y Gestión de Cuenta","7","2","Done"
"Acceso a preguntas frecuentes (FAQ)","US12","EP01","Onboarding del Visitante","8","3","Done"
"Búsqueda dentro de preguntas frecuentes","US13","EP01","Onboarding del Visitante","9","3","Done"
"Envío de ticket de soporte","US14","EP12","Reportes, Moderación y Soporte","10","3","Done"
"Conocer los beneficios de GigU","US08","EP01","Onboarding del Visitante","11","1","Done"
"Detalles sobre tipos de servicios","US11","EP01","Onboarding del Visitante","12","5","Done"
"Experiencias de otros usuarios","US10","EP01","Onboarding del Visitante","13","5","Done"
"Diferencias entre roles (Freelancer / Cliente)","US09","EP01","Onboarding del Visitante","14","8","Done"
"Buscar freelancers por palabra clave","US25","EP06","Descubrimiento del Catálogo","15","3","Done"
"Filtrar freelancers por habilidad","US26","EP06","Descubrimiento del Catálogo","16","3","Done"
"Ordenar resultados por relevancia o calificación","US29","EP06","Descubrimiento del Catálogo","17","3","Done"
"Filtrar por rango de precios","US27","EP06","Descubrimiento del Catálogo","18","5","Done"
"Filtrar por nivel de experiencia","US28","EP06","Descubrimiento del Catálogo","19","5","Done"
"Contratar desde el perfil del freelancer","US30","EP08","Solicitud y Acuerdo de Contratación","20","5","Done"
"Confirmación de contratación exitosa","US31","EP08","Solicitud y Acuerdo de Contratación","21","3","Done"
"Añadir imágenes o archivos al servicio (previo a contratar)","US24","EP05","Publicación y Mantenimiento de Servicios","22","3","Done"
"Historial de contrataciones realizadas","US33","EP08","Solicitud y Acuerdo de Contratación","23","2","Done"
"Visualizar proyectos activos","US34","EP09","Gestión del Ciclo de Vida del Proyecto","24","5","Done"
"Seguimiento del estado del proyecto","US37","EP09","Gestión del Ciclo de Vida del Proyecto","25","5","Done"
"Aceptar o rechazar una solicitud de contrato","US32","EP08","Solicitud y Acuerdo de Contratación","26","3","Done"
"Gestionar solicitudes recibidas","US35","EP08","Solicitud y Acuerdo de Contratación","27","3","Done"
"Marcar proyecto como finalizado","US36","EP09","Gestión del Ciclo de Vida del Proyecto","28","3","Done"
"Calificar al freelancer al finalizar el proyecto","US38","EP07","Reputación y Reseñas Públicas","29","3","Done"
"Ver calificaciones en perfil de freelancer","US39","EP07","Reputación y Reseñas Públicas","30","5","Done"
"Calificar al cliente","US41","EP07","Reputación y Reseñas Públicas","31","5","Done"
"Editar calificación después del proyecto","US40","EP07","Reputación y Reseñas Públicas","32","5","Done"
"Enviar mensaje a usuario desde perfil","US42","EP11","Mensajería Coordinada Cliente-Freelancer","33","3","Done"
"Ver historial de conversaciones","US43","EP11","Mensajería Coordinada Cliente-Freelancer","34","2","Done"
"Notificaciones de nuevos mensajes","US44","EP11","Mensajería Coordinada Cliente-Freelancer","35","1","Done"
"Bloquear o reportar usuario desde chat","US45","EP12","Reportes, Moderación y Soporte","36","2","Done"
"Creación de perfil freelance","US15","EP03","Perfil Profesional del Freelancer","37","5","Done"
"Añadir habilidades y descripción personal","US16","EP03","Perfil Profesional del Freelancer","38","8","Done"
"Establecer tarifas por servicio","US17","EP05","Publicación y Mantenimiento de Servicios","39","8","Done"
"Subir portafolio de proyectos","US18","EP04","Portafolio y Evidencias del Freelancer","40","5","Done"
"Editar y actualizar perfil en cualquier momento","US19","EP03","Perfil Profesional del Freelancer","41","3","Done"
